iter	Logloss
0	0.6888121306
1	0.6828956105
2	0.6788193167
3	0.6743636184
4	0.6691827454
5	0.663969086
6	0.6604826983
7	0.6560541232
8	0.6521034732
9	0.6485458027
10	0.645052792
11	0.641701502
12	0.6391190537
13	0.6365475628
14	0.6336114643
15	0.6309219994
16	0.6290877284
17	0.6265156372
18	0.6239236033
19	0.6213926856
20	0.6194614904
21	0.6182251747
22	0.6167782751
23	0.6144790382
24	0.6124174698
25	0.6112611226
26	0.609345301
27	0.6074598319
28	0.6063975629
29	0.6042436067
30	0.6028023871
31	0.6002812541
32	0.5990853016
33	0.5981299003
34	0.5966152268
35	0.5955021514
36	0.5940324248
37	0.5928074245
38	0.5917163724
39	0.5905858612
40	0.5896429242
41	0.5882147521
42	0.5878402704
43	0.5863558532
44	0.5850995523
45	0.5840877511
46	0.5826537851
47	0.5813533337
48	0.5806473745
49	0.5795087387
50	0.5777242888
51	0.5762545191
52	0.5748231443
53	0.5740447528
54	0.5725677686
55	0.5714335471
56	0.5703951866
57	0.569236413
58	0.568313451
59	0.5674686159
60	0.5663078715
61	0.5657562619
62	0.5646807939
63	0.5634670658
64	0.5621581877
65	0.5614549701
66	0.5607629041
67	0.5593361322
68	0.5585407209
69	0.5571269454
70	0.5564656297
71	0.5554767119
72	0.5544718696
73	0.5535419689
74	0.5523980479
75	0.5516334779
76	0.550396381
77	0.5495326092
78	0.5486360599
79	0.547575743
80	0.5466982462
81	0.5458451201
82	0.5448200142
83	0.5436774107
84	0.5422941799
85	0.5414701989
86	0.5406749206
87	0.539798564
88	0.5389099254
89	0.5383163721
90	0.5373847135
91	0.536777178
92	0.5358854447
93	0.5351357118
94	0.5343188753
95	0.5334654506
96	0.532182037
97	0.531391195
98	0.5308994282
99	0.5304840611
100	0.5299543466
101	0.5294387011
102	0.5289056518
103	0.5277228703
104	0.5270171311
105	0.5261387152
106	0.5253318207
107	0.5243070208
108	0.5232807043
109	0.5228350808
110	0.52210973
111	0.5214858594
112	0.5209952455
113	0.5202330848
114	0.5198000078
115	0.5190469992
116	0.5181440889
117	0.5174154053
118	0.5166944107
119	0.516114043
120	0.5149664071
121	0.5142630566
122	0.5134394258
123	0.5126947832
124	0.512018207
125	0.5113388218
126	0.5104638827
127	0.5099998496
128	0.5091184757
129	0.5081598914
130	0.5072513975
131	0.5062736801
132	0.5053455961
133	0.5045988998
134	0.5037299705
135	0.5028099422
136	0.5021087193
137	0.5016319806
138	0.501617632
139	0.5010630648
140	0.5002163207
141	0.4990215834
142	0.4984820153
143	0.4978866866
144	0.4972244345
145	0.4964579599
146	0.4955677581
147	0.4949886412
148	0.4943128919
149	0.4936608682
150	0.4933872689
151	0.493018082
152	0.4923190033
153	0.4912954167
154	0.4902943888
155	0.4895561311
156	0.4889618235
157	0.4883494394
158	0.4876686864
159	0.4868823166
160	0.4861122783
161	0.4855595546
162	0.4851355361
163	0.484622662
164	0.4841985806
165	0.4836737408
166	0.4828631262
167	0.4824119061
168	0.4816109911
169	0.4809925674
170	0.4802179275
171	0.4798916203
172	0.4791472809
173	0.4785121808
174	0.4776991155
175	0.4771136069
